context,question,choices,label
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,B
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,D
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,A
This is a sample context about a certain topic.,What is the main idea of the context?,A) Idea 1 B) Idea 2 C) Idea 3 D) Idea 4,C
